,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
15,Stefan Lochner,Male,".mw-parser-output .tmulti .thumbinner{display:flex;flex-direction:column}.mw-parser-output .tmulti .trow{display:flex;flex-direction:row;clear:left;flex-wrap:wrap;width:100%;box-sizing:border-box}.mw-parser-output .tmulti .tsingle{margin:1px;float:left}.mw-parser-output .tmulti .theader{clear:both;font-weight:bold;text-align:center;align-self:center;background-color:transparent;width:100%}.mw-parser-output .tmulti .thumbcaption{text-align:left;background-color:transparent}.mw-parser-output .tmulti .thumbcaption-center{text-align:center;background-color:transparent}.mw-parser-output .tmulti .text-align-left{text-align:left}.mw-parser-output .tmulti .text-align-right{text-align:right}.mw-parser-output .tmulti .text-align-center{text-align:center}@media all and (max-width:720px){.mw-parser-output .tmulti .thumbinner{width:100%!important;box-sizing:border-box;max-width:none!important;align-items:center}.mw-parser-output .tmulti .trow{justify-content:center}.mw-parser-output .tmulti .tsingle{float:none!important;max-width:100%!important;box-sizing:border-box;text-align:center}.mw-parser-output .tmulti .thumbcaption{text-align:center}}Left wing, Martyrdom of the ApostlesLast Judgement, c. 1435. Wallraf-Richartz Museum, CologneRight wing, Martyrdom of the Apostles",Success,None,None
16,Adolfo Farsari,Male,"Adolfo Farsari (Italian pronunciation: [aˈdɔlfo farˈsaːri]; 11 February 1841 – 7 February 1898) was an Italian photographer based in Yokohama, Japan. His studio, the last notable foreign-owned studio in Japan, was one of the country's largest and most prolific commercial photographic firms. Largely due to Farsari's exacting technical standards and his entrepreneurial abilities it had a significant influence on the development of photography in Japan.",Success,None,None
17,Florence Fuller,Female,"Florence Ada Fuller (1867 – 17 July 1946) was a South African-born Australian artist. Originally from Port Elizabeth, Fuller migrated as a child to Melbourne with her family. There she trained with her uncle Robert Hawker Dowling and teacher Jane Sutherland and took classes at the National Gallery of Victoria Art School, becoming a professional artist in the late 1880s. In 1892 she left Australia, travelling first to South Africa, where she met and painted for Cecil Rhodes, and then on to Europe. She lived and studied there for the subsequent decade, except for a return to South Africa in 1899 to paint a portrait of Rhodes. Between 1895 and 1904 her works were exhibited at the Paris Salon and London's Royal Academy.",Success,None,None
18,Caspar David Friedrich,Male,"  Wanderer above the Sea of Fog (1818). 94.8 × 74.8 cm, Kunsthalle Hamburg. This well-known and especially Romantic masterpiece was described by the historian John Lewis Gaddis as leaving a contradictory impression, ""suggesting at once mastery over a landscape and the insignificance of the individual within it. We see no face, so it's impossible to know whether the prospect facing the young man is exhilarating, or terrifying, or both.""[1]",Success,1945,None
19,Vincent van Gogh,Male,"  Sunflowers (F.458), repetition of the 4th version (yellow background), August 1889.[1] Van Gogh Museum, Amsterdam",Success,1853,1890
20,Ima Hogg,Female,"Ima Hogg (July 10, 1882 – August 19, 1975), known as ""The First Lady of Texas"",[1] was an American society leader, philanthropist, patron and collector of the arts, and one of the most respected women in Texas during the 20th century.[2] Hogg was an avid art collector, and owned works by Picasso, Klee, and Matisse, among others. Hogg donated hundreds of pieces of artwork to Houston's Museum of Fine Arts and served on a committee to plan the Kennedy Center in Washington, D.C. An enthusiastic collector of early American antiques, she also served on a committee tasked with locating historical furniture for the White House. She restored and refurbished several properties, including the Varner plantation and Bayou Bend, which she later donated to Texas arts and historical institutions who maintain the facilities and their collections today. Hogg received numerous awards and honors, including the Louise E. du Pont Crowninshield Award from the National Trust for Historic Preservation, the Santa Rita Award from the University of Texas System, and an honorary doctorate in fine arts from Southwestern University.",Success,None,None
21,Charles Holden,Male,"Charles Henry Holden Litt.D, FRIBA, MRTPI, RDI (12 May 1875 – 1 May 1960) was a Bolton-born English architect best known for designing many London Underground stations during the 1920s and 1930s, for Bristol Central Library, the Underground Electric Railways Company of London's headquarters at 55 Broadway and for the University of London's Senate House. He also created many war cemeteries in Belgium and northern France for the Imperial War Graves Commission.",Success,1875,1960
22,Hu Zhengyan,Male,"Hu Zhengyan (Chinese: 胡正言; c. 1584 – 1674) was a Chinese artist, printmaker and publisher. He worked in calligraphy, traditional Chinese painting, and seal-carving, but was primarily a publisher, producing academic texts as well as records of his own work.",Success,1584,1674
23,André Kertész,Male,The native form of this personal name is Kertész Andor. This article uses Western name order when mentioning individuals.,Success,None,None
24,Osbert Lancaster,Male,"Sir Osbert Lancaster, CBE (4 August 1908 – 27 July 1986) was an English cartoonist, architectural historian, stage designer and author. He was known for his cartoons in the British press, and for his lifelong work to inform the general public about good buildings and architectural heritage.",Success,None,None
25,James B. Longacre,Male,"James Barton Longacre (August 11, 1794 – January 1, 1869) was an American portraitist and engraver, and the fourth Chief Engraver of the United States Mint from 1844 until his death. Longacre is best known for designing the Indian Head cent, which entered commerce in 1859, and for the designs of the Shield nickel, Flying Eagle cent and other coins of the mid-19th century.",Success,1794,1869
26,Danie Mellor,Male,"Danie Mellor (born 13 April 1971) is an Australian artist who was the winner of the 2009 National Aboriginal & Torres Strait Islander Art Award. Born in Mackay, Queensland, Mellor grew up in Scotland, Australia, and South Africa before undertaking tertiary studies at North Adelaide School of Art, the Australian National University (ANU) and Birmingham Institute of Art and Design. He then took up a post lecturing at Sydney College of the Arts. He works in different media including printmaking, drawing, painting, and sculpture. Considered a key figure in contemporary Indigenous Australian art, the dominant theme in Mellor's art is the relationship between Indigenous and non-Indigenous Australian cultures.[note 1]",Success,1971,None
27,Henry Moore,Male,"Henry Spencer Moore OM CH FBA (30 July 1898 – 31 August 1986) was an English artist. He is best known for his semi-abstract monumental bronze sculptures which are located around the world as public works of art.  As well as sculpture, Moore produced many drawings, including a series depicting Londoners sheltering from the Blitz during the Second World War, along with other graphic works on paper.",Success,1898,1986
28,Benjamin Mountfort,Male,"Benjamin Woolfield Mountfort (13 March 1825 – 15 March 1898) was an English emigrant to New Zealand, where he became one of that country's most prominent 19th-century architects. He was instrumental in shaping the city of Christchurch's unique architectural identity and culture, and was appointed the first official Provincial Architect of the developing province of Canterbury. Heavily influenced by the Anglo-Catholic philosophy behind early Victorian architecture, he is credited with importing the Gothic revival style to New Zealand. His Gothic designs constructed in both wood and stone in the province are considered unique to New Zealand. Today, he is considered the founding architect of the province of Canterbury.",Success,None,None
29,Margaret Murray,Female,"Margaret Alice Murray (13 July 1863 – 13 November 1963) was an Anglo-Indian Egyptologist, archaeologist, anthropologist, historian, and folklorist. The first woman to be appointed as a lecturer in archaeology in the United Kingdom, she worked at University College London (UCL) from 1898 to 1935. She served as President of the Folklore Society from 1953 to 1955, and published widely over the course of her career.",Unknown,1863,1963
30,Daisy Jugadai Napaltjarri,Female,"Daisy Jugadai Napaltjarri (c. 1955 – 2008) was a Pintupi-Luritja-speaking Indigenous artist from Australia's Western Desert region, and sister of artist Molly Jugadai Napaltjarri. Daisy Jugadai lived and painted at Haasts Bluff, Northern Territory. There she played a significant role in the establishment of Ikuntji Women's Centre, where many artists of the region have worked.",Success,1955,None
31,Wintjiya Napaltjarri,Female,"Wintjiya Napaltjarri (born between ca. 1923 to 1934) (also spelt Wentjiya, Wintjia or Wentja), and also known as Wintjia Napaltjarri No. 1,[1] is a Pintupi-speaking Indigenous artist from Australia's Western Desert region. She is the sister of artist Tjunkiya Napaltjarri; both were wives of Toba Tjakamarra, with whom Wintjiya had five children.",Success,None,None
32,Makinti Napanangka,Female,"Makinti Napanangka (c. 1930 – 9 January 2011[1]) was a Pintupi-speaking Indigenous Australian artist from Australia's Western Desert region. She was referred to posthumously as Kumentje.[2] The term Kumentje was used instead of her personal name as it is customary among many indigenous communities not to refer to the deceased by their original given name for some time after their death.[3] She lived in the communities of Haasts Bluff, Papunya, and later at Kintore, about 50 kilometres (31 mi) north-east of the Lake MacDonald region where she was born, on the border of the Northern Territory and Western Australia.",Success,1930,2011
33,Hilda Rix Nicholas,Female,"Hilda Rix Nicholas (née Rix, later Wright, 1 September 1884 – 3 August 1961)[notes 1] was an Australian artist. Born in the Victorian city of Ballarat, she studied under a leading Australian Impressionist, Frederick McCubbin, at the National Gallery of Victoria Art School from 1902 to 1905 and was an early member of the Melbourne Society of Women Painters and Sculptors. Following the death of her father in 1907, Rix, her only sibling Elsie and her mother travelled to Europe where she undertook further study, first in London and then Paris. Her teachers during the period included John Hassall, Richard Emil Miller and Théophile Steinlen.",Success,1902,None
34,Bronwyn Oliver,Female,"Bronwyn Joy Oliver (née Gooda, 22 February 1959 – 10 July 2006) was an Australian sculptor whose work primarily consisted of metalwork. Oliver was raised in rural New South Wales. She trained at Sydney's Alexander Mackie College of Advanced Education and London's Chelsea School of Art. She had early success, winning a New South Wales Travelling Art Scholarship in 1981 and the Moet & Chandon Australian Art Fellowship in 1984. Oliver settled in Sydney, where she practised and taught until her death in 2006.",Success,None,None
35,Robert Peake the Elder,Male,"  Portrait of Henry, Prince of Wales (centre), and John Harington, later 2nd Lord Harington of Exton, by Robert Peake the Elder, 1603",Unknown,None,None
36,I. M. Pei,Male,I. M. PeiTraditional Chinese貝聿銘Simplified Chinese贝聿铭TranscriptionsStandard MandarinHanyu PinyinBèi YùmíngWade–GilesPei4 Yü4-ming2Yale RomanizationBèi YùmíngIPA[pêi ŷ.mǐŋ]WuSuzhounesePě Yueh MínYue: CantoneseYale RomanizationBui Yuht MìhngJyutpingBui3 Jyut6 Ming4IPA[pūːi jỳːt mɪ̏ŋ],Success,1917,2019
37,Minnie Pwerle,Female,"Minnie Pwerle (also Minnie Purla[1] or Minnie Motorcar Apwerl;[2] born between 1910 and 1922 – 18 March 2006) was an Australian Aboriginal artist. She came from Utopia, Northern Territory (Unupurna in local language), a cattle station in the Sandover area of Central Australia 300 kilometres (190 mi) northeast of Alice Springs.",Success,None,None
38,Pierre Rossier,Male,"Pierre Joseph Rossier (16 July 1829 –  22 October 1886[1]) was a pioneering Swiss photographer whose albumen photographs, which include stereographs and cartes-de-visite, comprise portraits, cityscapes, and landscapes. He was commissioned by the London firm of Negretti and Zambra to travel to Asia and document the progress of the Anglo-French troops in the Second Opium War and, although he failed to join that military expedition, he remained in Asia for several years, producing the first commercial photographs of China, the Philippines, Japan and Siam (now Thailand). He was the first professional photographer in Japan, where he trained Ueno Hikoma, Maeda Genzō, Horie Kuwajirō, as well as lesser known members of the first generation of Japanese photographers. In Switzerland he established photographic studios in Fribourg and Einsiedeln, and he also produced images elsewhere in the country. Rossier is an important figure in the early history of photography not only because of his own images, but also because of the critical impact of his teaching in the early days of Japanese photography.",Unknown,None,None
39,Jacob van Ruisdael,Male,"Jacob Isaackszoon van Ruisdael (Dutch pronunciation: [ˈjaːkɔp fɑn ˈrœyzdaːl] (listen); c. 1629 – 10 March 1682) was a Dutch painter, draughtsman, and etcher. He is generally considered the pre-eminent landscape painter of the Dutch Golden Age, a period of great wealth and cultural achievement when Dutch painting became highly popular.",Success,1628,1682
40,Edmund Sharpe,Male,"Edmund Sharpe (31 October 1809 – 8 May 1877) was an English architect, architectural historian, railway engineer, and sanitary reformer.  Born in Knutsford, Cheshire, he was educated first by his parents and then at schools locally and in Runcorn, Greenwich and Sedbergh.  Following his graduation from Cambridge University he was awarded a travelling scholarship, enabling him to study architecture in Germany and southern France. In 1835 he established an architectural practice in Lancaster, initially working on his own.  In 1845 he entered into partnership with Edward Paley, one of his pupils.  Sharpe's main focus was on churches, and he was a pioneer in the use of terracotta as a structural material in church building, designing what were known as ""pot"" churches, the first of which was St Stephen and All Martyrs' Church, Lever Bridge.",Success,None,None
41,Constance Stokes,Female,"Constance Stokes (née Parkin, 22 February 1906 – 14 July 1991) was a modernist Australian painter who worked in Victoria. She trained at the National Gallery of Victoria Art School until 1929, winning a scholarship to continue her study at London's Royal Academy of Arts. Although Stokes painted few works in the 1930s, her paintings and drawings were exhibited from the 1940s onwards. She was one of only two women, and two Victorians, included in a major exhibition of twelve Australian artists that travelled to Canada, the United Kingdom and Italy in the early 1950s.",Success,None,None
42,Tom Thomson,Male,"For people with similar names, see Thomas Thomson (disambiguation) and Thomas Thompson (disambiguation).",Success,1877,1917
43,Mortimer Wheeler,Male,"Sir Robert Eric Mortimer Wheeler FRS FBA FSA (10 September 1890 – 22 July 1976) was a British archaeologist and officer in the British Army. Over the course of his career, he served as Director of both the National Museum of Wales and London Museum, Director-General of the Archaeological Survey of India, and the founder and Honorary Director of the Institute of Archaeology in London, in addition to writing twenty-four books on archaeological subjects.",Success,1890,1976
44,Nigel Williams (conservator),Male,"Nigel Reuben Rook Williams (15 July 1944 – 21 April 1992) was an English conservator and expert on the restoration of ceramics and glass. From 1961 until his death he worked at the British Museum, where he became the Chief Conservator of Ceramics and Glass in 1983. There his work included the successful restorations of the Sutton Hoo helmet and the Portland Vase.",Success,1944,None
45,Rudolf Wolters,Male,"Rudolf Wolters (August 3, 1903 – January 7, 1983) was a German architect and government official, known for his longtime association with fellow architect and Third Reich official Albert Speer.  A friend and subordinate of Speer, Wolters received the many papers which were smuggled out of Spandau Prison for Speer while he was imprisoned there, and kept them for him until Speer was released in 1966.  After Speer's release, the friendship slowly collapsed, Wolters objecting strongly to Speer's blaming of Hitler and other Nazis for the Holocaust and World War II, and they saw nothing of each other in the decade before Speer's death in 1981.",Success,1903,1983
46,John Michael Wright,Male,"John Michael Wright (May 1617 – July 1694)[2] was a portrait painter in the Baroque style. Described variously as English and Scottish, Wright trained in Edinburgh under the Scots painter George Jamesone, and acquired a considerable reputation as an artist and scholar during a long sojourn in Rome. There he was admitted to the Accademia di San Luca, and was associated with some of the leading artists of his generation. He was engaged by Archduke Leopold Wilhelm of Austria, the governor of the Spanish Netherlands, to acquire artworks in Oliver Cromwell's England in 1655. He took up permanent residence in England from 1656, and served as court painter before and after the English Restoration. A convert to Roman Catholicism, he was a favourite of the restored Stuart court, a client of both Charles II and James II, and was a witness to many of the political maneuverings of the era. In the final years of the Stuart monarchy he returned to Rome as part of an embassy to Pope Innocent XI.",Success,None,None
47,Mary Anning,Female,"Mary Anning (21 May 1799 – 9 March 1847[2]) was an English fossil collector, dealer, and palaeontologist who became known around the world for important finds she made in Jurassic marine fossil beds in the cliffs along the English Channel at Lyme Regis in the county of Dorset in Southwest England.[3] Her findings contributed to important changes in scientific thinking about prehistoric life and the history of the Earth.",Success,1799,1847
48,Edward Drinker Cope,Male,"Edward Drinker Cope (July 28, 1840 – April 12, 1897) was an American paleontologist and comparative anatomist, as well as a noted herpetologist and ichthyologist. He was a founder of the Neo-Lamarckism school of thought. Born to a wealthy Quaker family, Cope distinguished himself as a child prodigy interested in science; he published his first scientific paper at the age of 19. Though his father tried to raise Cope as a gentleman farmer, he eventually acquiesced to his son's scientific aspirations. Cope married his cousin and had one child; the family moved from Philadelphia to Haddonfield, New Jersey, although Cope would maintain a residence and museum in Philadelphia in his later years.",Success,1840,1897
49,Charles Darwin,Male,"Charles Robert Darwin, FRS FRGS FLS FZS[2] (/ˈdɑːrwɪn/;[5] 12 February 1809 – 19 April 1882) was an English naturalist, geologist and biologist,[6] best known for his contributions to the science of evolution.[I] His proposition that all species of life have descended over time from common ancestors is now widely accepted, and considered a foundational concept in science.[7] In a joint publication with Alfred Russel Wallace, he introduced his scientific theory that this branching pattern of evolution resulted from a process that he called natural selection, in which the struggle for existence has a similar effect to the artificial selection involved in selective breeding.[8] Darwin has been described as one of the most influential figures in human history,[9] and he was honoured by burial in Westminster Abbey.[10]",Success,1857,None
50,Henry Edwards (entomologist),Male,"This article is about the England-born actor and entomologist. For the American entomologist, see William Henry Edwards.",Success,None,None
51,Georg Forster,Male,"Johann Georg Adam Forster (German pronunciation: [ˈɡeːɔʁk ˈfɔʁstɐ]; November 27, 1754[3] – January 10, 1794) was a German naturalist, ethnologist, travel writer, journalist, and revolutionary.[2] At an early age, he accompanied his father, Johann Reinhold Forster, on several scientific expeditions, including James Cook's second voyage to the Pacific. His report of that journey, A Voyage Round the World, contributed significantly to the ethnology of the people of Polynesia and remains a respected work. As a result of the report, Forster was admitted to the Royal Society at the early age of twenty-two and came to be considered one of the founders of modern scientific travel literature.",Success,1754,None
52,Marcus Ward Lyon Jr.,Male,"Marcus Ward Lyon Jr. (February 5, 1875 – May 19, 1942) was an American mammalogist, bacteriologist, and pathologist.  He was born into a military family, and demonstrated an early interest in zoology by collecting local wildlife around his father's army posts.  He graduated from Brown University in 1897, and continued his studies at George Washington University while working part-time at the United States National Museum (USNM).[a]  At the same time, he taught at Howard University Medical School and later George Washington University Medical School.  He received his Ph.D. from George Washington University in 1913.  In 1919, he and his wife, Martha, moved to South Bend, Indiana to join a newly opened clinic.  Prior to moving, Lyon had published many papers on mammalogy, both during and after his tenure at the USNM.  In these papers, he had formally described six species, three genera, and one family.  Once in South Bend, he began to publish medical studies, too, but continued his work in mammalogy, with a particular focus on the local fauna of Indiana.  He published more than 160 papers during his career.",Success,1875,1942
53,Barbara McClintock,Female,"Barbara McClintock (June 16, 1902 – September 2, 1992) was an American scientist and cytogeneticist who was awarded the 1983 Nobel Prize in Physiology or Medicine. McClintock received her PhD in botany from Cornell University in 1927. There she started her career as the leader in the development of maize cytogenetics, the focus of her research for the rest of her life. From the late 1920s, McClintock studied chromosomes and how they change during reproduction in maize. She developed the technique for visualizing maize chromosomes and used microscopic analysis to demonstrate many fundamental genetic ideas. One of those ideas was the notion of genetic recombination by crossing-over during meiosis—a mechanism by which chromosomes exchange information. She produced the first genetic map for maize, linking regions of the chromosome to physical traits. She demonstrated the role of the telomere and centromere, regions of the chromosome that are important in the conservation of genetic information. She was recognized as among the best in the field, awarded prestigious fellowships, and elected a member of the National Academy of Sciences in 1944.",Success,1902,None
54,Meinhard Michael Moser,Male,"Meinhard Michael Moser (13 March 1924 – 30 September 2002) was an Austrian mycologist. His work principally concerned the taxonomy, chemistry, and toxicity of the gilled mushrooms (Agaricales), especially those of the genus Cortinarius, and the ecology of ectomycorrhizal relationships. His contributions to the Kleine Kryptogamenflora von Mitteleuropa series of mycological guidebooks were well regarded and widely used. In particular, his 1953 Blätter- und Bauchpilze (Agaricales und Gastromycetes) [The Gilled and Gasteroid Fungi (Agaricales and Gastromycetes)], which became known as simply ""Moser"", saw several editions in both the original German and in translation. Other important works included a 1960 monograph on the genus Phlegmacium (now considered part of Cortinarius) and a 1975 study of members of Cortinarius, Dermocybe, and Stephanopus in South America, co-authored with the mycologist Egon Horak.",Unknown,1924,2002
55,William T. Stearn,Male,"William Thomas Stearn /stɜːrn/ CBE FLS VMH (16 April 1911 – 9 May 2001) was a British botanist. Born in Cambridge in 1911, he was largely self-educated, and developed an early interest in books and natural history. His initial work experience was at a Cambridge bookshop, but he also had a position as an assistant in the university botany department. At the age of 29 he married Eldwyth Ruth Alford, who later became his collaborator. He died in London in 2001, survived by his widow and three children.",Success,1911,2001
56,G. Ledyard Stebbins,Male,"George Ledyard Stebbins Jr. (January 6, 1906 – January 19, 2000) was an American botanist and geneticist who is widely regarded as one of the leading evolutionary biologists of the 20th century.[1] Stebbins received his Ph.D. in botany from Harvard University in 1931. He went on to the University of California, Berkeley, where his work with E. B. Babcock on the genetic evolution of plant species, and his association with a group of evolutionary biologists known as the Bay Area Biosystematists, led him to develop a comprehensive synthesis of plant evolution incorporating genetics.",Success,None,None
57,Alfred Russel Wallace,Male,"Alfred Russel Wallace OM FRS (8 January 1823 – 7 November 1913) was a British naturalist, explorer, geographer, anthropologist, and biologist.[1] He is best known for independently conceiving the theory of evolution through natural selection; his paper on the subject was jointly published with some of Charles Darwin's writings in 1858.[2] This prompted Darwin to publish his own ideas in On the Origin of Species.",Success,1855,None
58,Francis Willughby,Male,"Francis Willughby (sometimes spelt Willoughby)[a] FRS (22 November 1635 – 3 July 1672) was an English ornithologist and ichthyologist, and an early student of linguistics and games. He was born and raised at Middleton Hall, Warwickshire, the only son of an affluent country family. He was a student at Trinity College, Cambridge, where he was tutored by the mathematician and naturalist John Ray, who became a lifetime friend and colleague, and lived with Willughby after 1662 when he lost his livelihood through his refusal to sign the Act of Uniformity. Willughby was elected as a Fellow of the Royal Society in 1661, then aged 27.",Success,1635,1672
59,William Barley,Male,"  Cover of the anonymous play, The True Tragedy of Richard III (1594), which was ""to be sold by William Barley, at his shop in Newgate Market""",Success,None,None
60,Richard Cantillon,Male,"Richard Cantillon (French: [kɑ̃tijɔ̃]; 1680s – May 1734) was an Irish-French economist and author of Essai sur la Nature du Commerce en Général (Essay on the Nature of Trade in General), a book considered by William Stanley Jevons to be the ""cradle of political economy"".[4] Although little information exists on Cantillon's life, it is known that he became a successful banker and merchant at an early age. His success was largely derived from the political and business connections he made through his family and through an early employer, James Brydges. During the late 1710s and early 1720s, Cantillon speculated in, and later helped fund, John Law's Mississippi Company, from which he acquired great wealth. However, his success came at a cost to his debtors, who pursued him with lawsuits, criminal charges, and even murder plots until his death in 1734.",Success,1680,1734
61,Finn M. W. Caspersen,Male,"Finn Michael Westby Caspersen Sr. (October 27, 1941 – September 7, 2009) was an American financier and philanthropist. A graduate of the Peddie School, Brown University and Harvard Law School, he followed his father, Olaus Caspersen, a Norwegian immigrant to the United States, as chairman and chief executive of Beneficial Corporation, one of the largest consumer finance companies in the United States. After an $8.6 billion acquisition of Beneficial by Household International in 1998, Caspersen ran Knickerbocker Management, a private financial firm overseeing the assets of trusts and foundations.",Success,1941,2009
62,Adam Eckfeldt,Male,"John Adam Eckfeldt (June 15, 1769 – February 6, 1852) was a worker and official in the early days of the United States Mint.  A lifelong Philadelphian, Eckfeldt served as the second chief coiner of the Mint, from 1814 until 1839.",Success,None,None
63,Harold Innis,Male,"Harold Adams Innis FRSC (1894–1952) was a Canadian professor of political economy at the University of Toronto and the author of seminal works on media, communication theory, and Canadian economic history. Despite his dense and difficult prose, Innis was one of Canada's most original thinkers. He helped develop the staples thesis, which holds that Canada's culture, political history, and economy have been decisively influenced by the exploitation and export of a series of ""staples"" such as fur, fishing, lumber, wheat, mined metals, and coal.  The staple thesis dominated economic history in Canada 1930s–1960s, and continues to be a fundamental part of the Canadian political economy tradition.[7]",Success,1894,1952
